timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
8192,120.24211728355647,1.0,4.5783267,46.0,4.9790306,-2.0,0.00729927,2.0,1.0260245,0.0009190387,0.16710751,0.16822848,-0.0011209666,2.302327,0.015721504772599662,0.01403705783267827
16384,614.4963359035667,1.0,4.5254235,100.0,5.2252784,-2.0,0.0030564046,2.0,1.0284865,0.0051356913,0.1482903,0.14973706,-0.0014467526,2.3012562,0.018060572381217006,0.013337038066129481
24576,609.7740707396548,1.0,4.5881033,100.0,5.7202034,-2.0,0.019640854,2.0,1.0281246,0.018005306,0.12275027,0.12590298,-0.003152702,2.3001897,0.017022072577628132,0.014964459408903853
32768,604.9766925144164,1.0,4.596765,100.0,5.7052903,-2.0,0.020112518,2.0,1.0293939,0.019405324,0.12026978,0.12956885,-0.0092990585,2.2972913,0.016877637130801686,0.016033755274261603
40960,595.9622033591155,1.0,4.6414795,100.0,5.8061757,-2.0,0.032836914,2.0,1.029957,0.028792623,0.101059094,0.11752606,-0.01646696,2.2862983,0.015869140625,0.017578125
49152,604.6400772115069,1.0,4.713623,100.0,6.0364513,-2.0,0.05407715,2.0,1.0321399,0.0471714,0.09385739,0.11532825,-0.021470852,2.268371,0.016845703125,0.01953125
57344,599.9320892656159,1.0,4.7036133,100.0,5.940299,-2.0,0.107788086,2.0,1.0293438,0.08592068,0.08826999,0.1118184,-0.023548413,2.240603,0.013916015625,0.0234375
65536,586.2086301008686,1.0,4.7800293,94.0,6.06787,-2.0,0.1665039,2.0,1.0246526,0.13664252,0.07020394,0.09566759,-0.025463652,2.202372,0.01171875,0.0274658203125
73728,588.9175595351595,1.0,4.816284,94.0,6.2099743,-2.0,0.25012207,2.0,1.0095068,0.20687106,0.067071535,0.09433277,-0.027261233,2.148214,0.009521484375,0.031005859375
81920,591.2057198728622,1.0,4.833374,94.0,6.4924984,-2.0,0.34814453,2.0,0.9836983,0.29233837,0.057809625,0.08263682,-0.024827192,2.0841036,0.0072021484375,0.035400390625
90112,603.4263703757405,1.0,4.866333,94.0,6.9160585,-2.0,0.4539795,2.0,0.9392335,0.38502908,0.049761627,0.07224473,-0.022483103,2.00491,0.004150390625,0.03759765625
98304,606.8185335447372,1.0,4.942505,100.0,7.7388396,-2.0,0.5501709,2.0,0.8915415,0.47525552,0.04151734,0.062231738,-0.020714397,1.9336767,0.00341796875,0.0408935546875
106496,597.1628529550879,1.0,5.074463,100.0,8.933132,-2.0,0.62609863,2.0,0.840397,0.5428066,0.03076541,0.049006525,-0.018241115,1.8780165,0.002685546875,0.0419921875
