timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
8192,157.2001382950839,1.0,4.572635,60.0,5.1849046,-2.0,-0.032657657,2.0,1.0294387,-0.015885694,0.16823769,0.16898353,-0.0007458635,2.3023672,0.020833333333333332,0.01632882882882883
16384,613.4033393496472,1.0,4.7620296,76.0,5.736557,-2.0,-0.011956839,2.0,1.0365878,0.004602313,0.13343322,0.13383825,-0.00040501208,2.3018117,0.023913677456984545,0.016914552347623214
24576,608.9703138890136,1.0,4.719197,76.0,5.700483,-2.0,0.006566242,2.0,1.0334103,0.013012732,0.12549235,0.12785462,-0.002362249,2.3013897,0.021050598686751642,0.016415604480494398
32768,609.999143899805,1.0,4.723515,76.0,5.664694,-2.0,0.005781182,2.0,1.0327607,0.012918273,0.11699936,0.12461598,-0.0076166345,2.3000686,0.019800549212313917,0.01662089897384015
40960,602.4861117301818,1.0,4.730713,82.0,5.766217,-2.0,0.016235352,2.0,1.0323645,0.01904771,0.10283321,0.12107985,-0.018246634,2.2951221,0.0191650390625,0.01708984375
49152,599.5608230294811,1.0,4.75354,82.0,5.787933,-2.0,0.052124023,2.0,1.0328315,0.044184744,0.089864135,0.115503386,-0.025639255,2.279665,0.0177001953125,0.01904296875
57344,596.9001427620208,1.0,4.703369,82.0,5.673394,-2.0,0.087890625,2.0,1.0293969,0.07259295,0.08454645,0.11165643,-0.027109984,2.2502956,0.0155029296875,0.0203857421875
65536,591.556023837961,1.0,4.7557373,100.0,5.902345,-2.0,0.1472168,2.0,1.0221221,0.12437503,0.0742137,0.10239857,-0.028184868,2.2063303,0.0137939453125,0.021728515625
73728,594.8624230457967,1.0,4.79834,100.0,6.236772,-2.0,0.2244873,2.0,1.0103327,0.190483,0.06422261,0.09152074,-0.027298132,2.1412272,0.0120849609375,0.0250244140625
81920,597.5870754218895,1.0,4.8653564,100.0,6.865143,-2.0,0.32666016,2.0,0.9836217,0.2818955,0.0530798,0.07967467,-0.026594868,2.0661664,0.0093994140625,0.02880859375
90112,606.0469049305184,1.0,4.8814697,100.0,7.495327,-2.0,0.43798828,2.0,0.9390935,0.3813362,0.048888944,0.072444834,-0.023555888,1.9875495,0.0067138671875,0.0313720703125
98304,592.192427466087,1.0,4.9692383,100.0,8.6172285,-2.0,0.5465088,2.0,0.88238233,0.47937024,0.03710491,0.057733,-0.020628098,1.8970761,0.0042724609375,0.03466796875
106496,591.1565908138969,1.0,5.1397705,100.0,9.717664,-2.0,0.6365967,2.0,0.8236278,0.55852103,0.031968486,0.047186814,-0.015218327,1.8205826,0.0028076171875,0.0379638671875
114688,589.2028605570849,1.0,5.280884,100.0,10.704794,-2.0,0.7109375,2.0,0.761909,0.6243139,0.026541222,0.039662056,-0.013120834,1.7501923,0.001953125,0.0396728515625
122880,594.4406190388428,1.0,5.5407715,100.0,12.042265,-2.0,0.76257324,2.0,0.71082634,0.67061555,0.028123315,0.034288142,-0.0061648283,1.703839,0.0013427734375,0.0406494140625
131072,600.8627266711128,1.0,5.8582764,100.0,13.477867,-2.0,0.8093262,2.0,0.6607147,0.7136136,0.024650319,0.027663672,-0.0030133526,1.6623744,0.0009765625,0.0428466796875
139264,601.3044620525869,1.0,6.162842,100.0,14.57838,-2.0,0.8514404,2.0,0.6137864,0.7507478,0.02669327,0.029107984,-0.002414716,1.6021087,0.000732421875,0.046630859375
147456,591.6841019298313,1.0,6.5247803,100.0,15.816572,-2.0,0.8757324,2.0,0.57786053,0.77325857,0.02051457,0.020694291,-0.0001797207,1.6071634,0.00048828125,0.0477294921875
155648,589.3881901248354,1.0,6.862793,100.0,16.856556,-2.0,0.8979492,2.0,0.5429193,0.7930577,0.026602127,0.022014858,0.004587264,1.5630435,0.0003662109375,0.0487060546875
163840,591.516652981858,1.0,7.037964,100.0,17.61789,-2.0,0.9202881,2.0,0.5018214,0.8145746,0.024090258,0.020016776,0.004073481,1.547409,0.0003662109375,0.048583984375
172032,590.455678153563,1.0,7.3879395,100.0,18.585566,-2.0,0.9279785,2.0,0.48532,0.8221396,0.021761488,0.016847804,0.004913683,1.5375124,0.0001220703125,0.04931640625
180224,597.5606049154152,1.0,7.5776367,100.0,19.166294,-2.0,0.9376221,2.0,0.46523747,0.8307455,0.023571998,0.018789567,0.0047824313,1.4977338,0.0001220703125,0.0496826171875
188416,602.050614163762,1.0,7.8637695,100.0,20.030928,-1.0,0.9484863,2.0,0.44445655,0.84171414,0.022004163,0.017151488,0.004852676,1.4643724,0.022216796875,0.0521240234375
196608,598.1650011724018,1.0,7.9436035,100.0,20.366175,-1.0,0.9560547,2.0,0.42507175,0.8493174,0.023181817,0.01756965,0.0056121685,1.4271834,0.017578125,0.0517578125
204800,597.5519689913383,1.0,8.259033,100.0,21.130709,-1.0,0.9576416,2.0,0.41930667,0.8523845,0.022863943,0.017636122,0.00522782,1.4697521,0.01513671875,0.052490234375
212992,604.442981198109,1.0,8.423706,100.0,21.615335,-1.0,0.9581299,2.0,0.41112438,0.8546868,0.02213543,0.013966216,0.008169212,1.4336846,0.0128173828125,0.0516357421875
221184,584.8350631374768,1.0,8.515869,100.0,21.944796,-1.0,0.96203613,2.0,0.40792823,0.8601272,0.027112566,0.016889255,0.01022331,1.4389968,0.011474609375,0.053466796875
229376,593.2116725885849,1.0,8.741089,100.0,22.448883,-1.0,0.963501,2.0,0.4050594,0.8623602,0.01960584,0.013579327,0.006026514,1.4558167,0.010009765625,0.054443359375
237568,586.4159894670968,1.0,9.016724,100.0,23.035332,-1.0,0.96313477,2.0,0.40607965,0.86323106,0.019591851,0.014391109,0.0052007437,1.4785824,0.0091552734375,0.0555419921875
245760,591.2134612415157,1.0,8.984131,100.0,23.20537,-1.0,0.96728516,2.0,0.40220833,0.86980766,0.021421049,0.016230112,0.0051909373,1.4648575,0.0078125,0.0572509765625
253952,590.021039802202,1.0,9.24353,100.0,23.70479,-1.0,0.96313477,2.0,0.4027594,0.86837244,0.01957722,0.014426297,0.0051509244,1.3886398,0.0078125,0.0555419921875
262144,584.1835249300433,1.0,9.413086,100.0,23.968388,-1.0,0.9633789,2.0,0.40429422,0.868911,0.018731065,0.014079651,0.0046514156,1.4348434,0.0079345703125,0.05615234375
270336,586.1310006279122,1.0,9.606201,100.0,24.28646,-1.0,0.9609375,2.0,0.40557337,0.86696446,0.019491937,0.01260573,0.0068862056,1.4954695,0.007568359375,0.055908203125
