timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
8192,118.52525998287724,1.0,4.3408,73.0,4.912636,-2.0,-0.0272,2.0,1.0373331,-0.019272715,0.18509968,0.18620698,-0.0011072911,2.3022926,0.019733333333333332,0.018133333333333335
16384,613.8716973370807,1.0,4.5135884,100.0,5.316673,-2.0,-0.012479201,2.0,1.0362855,-0.0052811345,0.1425703,0.14504331,-0.0024730037,2.3013813,0.01774819744869662,0.019966722129783693
24576,609.8807354230782,1.0,4.5242934,100.0,5.240177,-2.0,-0.0018474044,2.0,1.035307,0.0014123546,0.13102637,0.136691,-0.005664635,2.2998922,0.01773508220949566,0.02032144836504711
32768,595.0874424613087,1.0,4.5767508,100.0,5.4984455,-2.0,0.011204482,2.0,1.0370654,0.013617497,0.11238546,0.12932852,-0.016943064,2.2960477,0.017787114845938375,0.020868347338935573
40960,589.2439349042382,1.0,4.6430664,100.0,5.878015,-2.0,0.03100586,2.0,1.0346844,0.029087529,0.094217926,0.11748774,-0.023269814,2.2827158,0.017578125,0.0196533203125
49152,589.4768483177883,1.0,4.6654053,100.0,6.000792,-2.0,0.06774902,2.0,1.0318061,0.06372877,0.09466929,0.12299677,-0.02832747,2.2517543,0.016845703125,0.0198974609375
57344,604.2382247387986,1.0,4.67395,100.0,6.1586895,-2.0,0.14489746,2.0,1.0245407,0.12572354,0.07017855,0.09791246,-0.027733905,2.2007687,0.01513671875,0.0213623046875
65536,599.4564404434707,1.0,4.7574463,100.0,6.696466,-2.0,0.2232666,2.0,1.0095155,0.19580479,0.06158319,0.088118754,-0.026535567,2.1372812,0.0128173828125,0.0230712890625
73728,587.0764417620519,1.0,4.8165283,100.0,7.088235,-2.0,0.3239746,2.0,0.9812805,0.28288847,0.054776873,0.079350844,-0.02457396,2.0669317,0.0098876953125,0.025390625
81920,589.1290724757384,1.0,5.0062256,100.0,8.006823,-2.0,0.4156494,2.0,0.94861346,0.36541894,0.04046429,0.060488995,-0.020024706,1.9852649,0.0069580078125,0.029296875
90112,591.594004469358,1.0,5.240967,100.0,9.226866,-2.0,0.5185547,2.0,0.8983478,0.4549836,0.035731964,0.052681305,-0.016949344,1.9052713,0.0047607421875,0.033203125
98304,601.2689385496016,1.0,5.501465,100.0,10.544017,-2.0,0.6014404,2.0,0.8515054,0.52853215,0.029414788,0.044274036,-0.014859246,1.8495753,0.0032958984375,0.037841796875
106496,602.6551787600948,1.0,5.782959,100.0,11.79703,-2.0,0.6738281,2.0,0.7995107,0.5940124,0.02941874,0.039607953,-0.010189212,1.7632853,0.0020751953125,0.041015625
114688,604.8607154655436,1.0,5.979492,100.0,12.871455,-2.0,0.7404785,2.0,0.73953116,0.6538669,0.025102094,0.031190585,-0.0060884906,1.6892687,0.00146484375,0.0426025390625
122880,603.7793530946993,1.0,6.3468018,100.0,14.247274,-2.0,0.7845459,2.0,0.6979605,0.69425595,0.024640555,0.027369764,-0.0027292075,1.6733361,0.0010986328125,0.0462646484375
131072,591.8264861765866,1.0,6.4611816,100.0,15.147974,-2.0,0.83691406,2.0,0.6377716,0.74306583,0.024083324,0.027359743,-0.0032764194,1.5784845,0.0006103515625,0.049560546875
139264,591.6037932422664,1.0,6.592285,100.0,15.950079,-2.0,0.8730469,2.0,0.59251195,0.7764864,0.025966639,0.02252215,0.0034444886,1.5542727,0.00048828125,0.0521240234375
147456,586.9237712086759,1.0,6.958618,100.0,17.105097,-2.0,0.8944092,2.0,0.5559146,0.7950734,0.021727802,0.018023487,0.0037043137,1.5762768,0.0003662109375,0.05126953125
155648,587.0802434938977,1.0,7.19812,100.0,17.892021,-2.0,0.9088135,2.0,0.52418137,0.8082517,0.019111488,0.01734318,0.0017683089,1.4780792,0.0003662109375,0.0496826171875
163840,594.3112729685716,1.0,7.312744,100.0,18.375063,-2.0,0.92492676,2.0,0.4909869,0.8235047,0.023266446,0.01888529,0.0043811565,1.4803814,0.000244140625,0.049560546875
172032,591.7984951427975,1.0,7.4312744,100.0,18.864887,-2.0,0.9382324,2.0,0.46988735,0.83546114,0.023053357,0.01957184,0.0034815166,1.4735007,0.0001220703125,0.0516357421875
180224,591.3377272676972,1.0,7.5250244,100.0,19.392649,-2.0,0.9482422,2.0,0.45340168,0.8474443,0.022580234,0.017127125,0.0054531107,1.4474125,0.0001220703125,0.0533447265625
188416,601.6064128510271,1.0,7.56604,100.0,19.75887,-1.0,0.9584961,2.0,0.432997,0.85705143,0.024290293,0.01728596,0.007004334,1.4060324,0.0194091796875,0.054443359375
196608,603.3168450875105,1.0,7.6331787,100.0,19.974829,-1.0,0.96484375,2.0,0.41338018,0.8598207,0.02434188,0.015771043,0.008570837,1.459713,0.0150146484375,0.053466796875
204800,602.5833514597842,1.0,7.704956,100.0,20.361832,-1.0,0.96533203,2.0,0.40355995,0.8634456,0.01956545,0.014180893,0.005384557,1.4094456,0.0128173828125,0.0518798828125
212992,602.6353495012602,1.0,7.482788,100.0,20.211224,-1.0,0.96936035,2.0,0.3991736,0.873067,0.024980092,0.01636954,0.00861055,1.3984433,0.011474609375,0.0533447265625
