timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
8192,62.101208375092014,1.0,15.972746,100.0,26.925497,-1.0,0.0524109,1.0,0.93800455,0.00046922977,0.09276818,0.09332001,-0.000551836,2.3022773,0.41509433962264153,0.46750524109014674
16384,615.1962576589026,1.0,16.995749,100.0,28.772476,-1.0,0.05526036,1.0,0.9341363,0.0041101244,0.059248637,0.060709387,-0.0014607487,2.3018956,0.410201912858661,0.46546227417640806
24576,614.762975542732,1.0,17.758314,100.0,29.733927,-1.0,0.045824096,1.0,0.9319646,0.009326335,0.028813217,0.030357953,-0.0015447325,2.3018546,0.4124168514412417,0.4582409460458241
32768,610.6792035772567,1.0,17.757442,100.0,29.64694,-1.0,0.032524806,1.0,0.93418515,0.017437473,0.025261384,0.030031836,-0.004770453,2.3010194,0.42061742006615216,0.4531422271223815
40960,670.6539854843686,1.0,17.562447,100.0,29.456316,-1.0,0.03642671,1.0,0.9347628,0.02673661,0.019941071,0.02953693,-0.009595858,2.299171,0.41934084995663484,0.4557675628794449
49152,678.6098639815316,1.0,17.5199,100.0,29.34952,-1.0,0.047756873,1.0,0.9325471,0.031158196,0.014834788,0.027561046,-0.01272626,2.2940676,0.4120839363241679,0.4598408104196816
57344,670.0846647109511,1.0,17.813734,100.0,29.714104,-1.0,0.042646598,1.0,0.9306799,0.03300511,0.012463039,0.02540315,-0.01294011,2.2909307,0.41266854813421133,0.4553151458137347
65536,681.1830949448594,1.0,17.751362,100.0,29.688808,-1.0,0.06100218,1.0,0.93035465,0.041205052,0.013993168,0.02803433,-0.014041162,2.2777317,0.40413943355119825,0.4651416122004357
73728,659.27255718902,1.0,17.884335,100.0,29.814806,-1.0,0.0773548,1.0,0.9289654,0.049634155,0.013276162,0.023862869,-0.010586709,2.2664464,0.3958028306490971,0.4731576378721328
81920,657.4818099555789,1.0,17.831545,100.0,29.750307,-1.0,0.10054764,1.0,0.92747384,0.062161397,0.013283303,0.02558129,-0.012297988,2.236438,0.38488499452354874,0.4854326396495071
90112,651.126623792545,1.0,17.9737,100.0,29.958256,-1.0,0.12627986,1.0,0.92366433,0.075364195,0.010859503,0.021253314,-0.010393811,2.2064705,0.37141136318008433,0.497691226661313
98304,637.2190297602469,1.0,18.209732,100.0,30.314875,-1.0,0.147651,1.0,0.91928744,0.08795865,0.010096932,0.019347368,-0.009250436,2.1886063,0.35961968680089484,0.5072706935123042
106496,618.0289921118683,1.0,18.481268,100.0,30.68444,-1.0,0.17232968,1.0,0.91325897,0.10170169,0.008503443,0.016946072,-0.008442629,2.167893,0.3457048266248475,0.5180345007841087
114688,621.6573044592907,1.0,18.651022,100.0,30.92601,-1.0,0.19574817,1.0,0.9077381,0.11465235,0.011331773,0.01783045,-0.0064986777,2.1494699,0.33327882256745706,0.5290269828291088
122880,615.4405532558952,1.0,18.88748,100.0,31.238401,-1.0,0.2156105,1.0,0.9020176,0.12608369,0.0115298005,0.01594936,-0.0044195587,2.1218464,0.3222565687789799,0.5378670788253478
131072,630.8511544572232,1.0,18.911781,100.0,31.351532,-1.0,0.24260011,1.0,0.89481425,0.14295948,0.015699353,0.01787934,-0.0021799877,2.067922,0.3084735925710969,0.5510737086477074
139264,663.4280159674978,1.0,18.966904,100.0,31.51592,-1.0,0.26859957,1.0,0.8868161,0.15832588,0.015657783,0.017102093,-0.0014443072,2.0337818,0.2949945295404814,0.5635940919037199
147456,676.7121310258586,1.0,19.258001,100.0,31.848093,-1.0,0.2838405,1.0,0.88042796,0.16868292,0.015821349,0.013360069,0.0024612797,1.9793704,0.28593913955928646,0.5697796432318992
155648,669.8474075206813,1.0,19.459106,100.0,32.129116,-1.0,0.30230808,1.0,0.8729817,0.18109894,0.016165897,0.0152473245,0.00091857405,1.9204414,0.2755895634721525,0.5778976417461114
163840,673.4906602246285,1.0,19.75879,100.0,32.53196,-1.0,0.3190918,1.0,0.8647484,0.19336489,0.015002525,0.015405259,-0.0004027339,1.8710313,0.2652587890625,0.5843505859375
172032,673.026904905902,1.0,20.050537,100.0,32.94904,-1.0,0.3449707,1.0,0.8526093,0.21174791,0.014966167,0.013863359,0.0011028071,1.8722528,0.25048828125,0.595458984375
180224,662.9420532718128,1.0,20.422363,100.0,33.4251,-1.0,0.36865234,1.0,0.8401739,0.2283915,0.015443998,0.011715256,0.003728743,1.9187427,0.236572265625,0.605224609375
188416,664.226081855353,1.0,20.45166,100.0,33.62194,-1.0,0.40515137,1.0,0.82208157,0.25549072,0.01975748,0.01548316,0.0042743203,1.8960483,0.2174072265625,0.62255859375
196608,656.6333693681794,1.0,20.609497,100.0,33.928852,-1.0,0.4378662,1.0,0.80239916,0.27732062,0.017815601,0.013878668,0.003936933,1.8439174,0.1988525390625,0.63671875
204800,665.7972811275049,1.0,20.765015,100.0,34.22939,-1.0,0.47717285,1.0,0.7776269,0.30005336,0.01678199,0.014465817,0.0023161722,1.8710979,0.1776123046875,0.65478515625
212992,656.1192911864119,1.0,21.067627,100.0,34.63989,-1.0,0.505249,1.0,0.75646424,0.31904972,0.020823311,0.014336324,0.006486985,1.7901824,0.1611328125,0.6663818359375
221184,647.2372276056616,1.0,21.292725,100.0,35.019108,-1.0,0.53125,1.0,0.73669845,0.33902088,0.01522629,0.012429177,0.0027971123,1.883355,0.1468505859375,0.6781005859375
229376,630.5098510666038,1.0,21.572144,100.0,35.37308,-1.0,0.56018066,1.0,0.71280926,0.35793698,0.014505943,0.013033571,0.0014723728,1.8478205,0.130859375,0.6910400390625
237568,625.1686588701938,1.0,21.751709,100.0,35.63955,-1.0,0.586792,1.0,0.68912196,0.37530956,0.015369755,0.013533562,0.0018361922,1.8118584,0.1162109375,0.7030029296875
245760,613.7513203613372,1.0,22.07312,100.0,36.022835,-1.0,0.6119385,1.0,0.6637732,0.39302307,0.015049231,0.013466818,0.0015824134,1.8378096,0.1015625,0.7135009765625
253952,604.7982724182482,1.0,22.236572,100.0,36.33974,-1.0,0.6365967,1.0,0.63729584,0.4125182,0.018053625,0.014996339,0.0030572847,1.8292484,0.08740234375,0.7239990234375
262144,638.69047914735,1.0,22.308472,100.0,36.55808,-1.0,0.66186523,1.0,0.60911113,0.43171746,0.016015548,0.015021609,0.0009939395,1.7951066,0.0736083984375,0.7354736328125
270336,666.2647013802526,1.0,22.412598,100.0,36.776783,-1.0,0.6824951,1.0,0.5837114,0.44930065,0.01914188,0.015888963,0.0032529193,1.760695,0.06201171875,0.7445068359375
278528,664.4045228734794,1.0,22.43042,100.0,36.895184,-1.0,0.6984863,1.0,0.5630706,0.46398586,0.0175822,0.014742576,0.0028396258,1.7858231,0.05322265625,0.751708984375
286720,664.1057496340143,1.0,22.554932,100.0,37.08421,-1.0,0.7080078,1.0,0.54905313,0.4742047,0.014827134,0.012543027,0.0022841056,1.8419288,0.04736328125,0.75537109375
294912,670.4202885865228,1.0,22.62976,100.0,37.213013,-1.0,0.71728516,1.0,0.5355105,0.4841336,0.015056244,0.013446137,0.0016101075,1.7540623,0.0419921875,0.75927734375
303104,661.9521871531094,1.0,22.730469,100.0,37.357826,-1.0,0.72509766,1.0,0.5234864,0.49103585,0.01638193,0.013618099,0.0027638301,1.7527207,0.037353515625,0.762451171875
311296,647.0101691904931,1.0,22.781616,100.0,37.46235,-1.0,0.7340088,1.0,0.5100797,0.49900016,0.01863547,0.012756991,0.0058784788,1.7864347,0.032470703125,0.7664794921875
319488,631.4993534985331,1.0,22.967285,100.0,37.694088,-1.0,0.7384033,1.0,0.50126773,0.5058115,0.018400678,0.013981467,0.0044192127,1.7167555,0.029052734375,0.7674560546875
327680,636.6141438953093,1.0,23.07605,100.0,37.83507,-1.0,0.7421875,1.0,0.49305478,0.5121,0.017250724,0.013806595,0.00344413,1.7831068,0.02587890625,0.76806640625
