timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
8192,70.0026566536462,1.0,16.594017,100.0,28.40996,-1.0,-0.02991453,1.0,0.93550706,-0.00092697196,0.084565416,0.0854204,-0.00085498585,2.3022423,0.452991452991453,0.4230769230769231
16384,670.8015840877468,1.0,17.189451,100.0,28.943743,-1.0,-0.026910657,1.0,0.93394727,-0.004565358,0.048385635,0.049393777,-0.0010081424,2.3020146,0.44994617868675996,0.42303552206673845
24576,659.4682048591776,1.0,17.092907,100.0,28.476004,-1.0,-0.034042552,1.0,0.9348896,-0.009765303,0.03466245,0.036690682,-0.002028232,2.3017888,0.4546099290780142,0.4205673758865248
32768,651.5617912457493,1.0,17.642818,100.0,29.325256,-1.0,-0.027307482,1.0,0.9320539,0.0031914916,0.020612378,0.02618735,-0.0055749733,2.3004332,0.4483888585472419,0.4210813762971054
40960,656.345015771407,1.0,17.524967,100.0,29.20607,-1.0,-0.024750326,1.0,0.9341286,0.009679672,0.0197649,0.030153973,-0.010389073,2.2968254,0.4489795918367347,0.4242292661745549
49152,495.3075218295911,1.0,17.832172,100.0,29.517963,-1.0,-0.021253206,1.0,0.9324506,0.0096182255,0.014585385,0.026002638,-0.011417253,2.2921374,0.44558446317332356,0.4243312568706486
57344,629.6493963786014,1.0,17.792995,100.0,29.458279,-1.0,0.0034396497,1.0,0.93252033,0.022266759,0.014452833,0.027407251,-0.012954419,2.2810812,0.433083176985616,0.4365228267667292
65536,671.3133595247831,1.0,17.897493,100.0,29.55166,-1.0,0.015431249,1.0,0.932133,0.029015195,0.014644154,0.025987636,-0.011343483,2.266374,0.42683934968310827,0.44227059796087076
73728,670.9165734858117,1.0,17.845236,100.0,29.585777,-1.0,0.04801365,1.0,0.9316831,0.042482324,0.01541049,0.026499152,-0.011088661,2.2377706,0.4111625639775774,0.45917621252741897
81920,665.663817916389,1.0,18.20577,100.0,29.992405,-1.0,0.06933572,1.0,0.92874116,0.053638786,0.012862495,0.019751523,-0.0068890257,2.2277417,0.39901588011630507,0.468351599194811
