timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
8192,68.51958455198648,1.0,15.972746,100.0,26.925497,-1.0,0.0524109,1.0,0.93800455,0.00400587,0.26761928,0.2681186,-0.0004993004,2.302258,0.41509433962264153,0.46750524109014674
16384,672.6217578077719,1.0,17.07158,100.0,28.860893,-1.0,0.056623932,1.0,0.93369895,0.007470084,0.15511265,0.15567438,-0.0005617348,2.3019314,0.4091880341880342,0.4658119658119658
24576,672.678697409257,1.0,17.36903,100.0,29.311487,-1.0,0.045586105,1.0,0.9334312,0.013004344,0.046226438,0.0461392,8.723623e-05,2.3023665,0.41389290882778584,0.459479015918958
32768,677.4462614618628,1.0,17.652893,100.0,29.694656,-1.0,0.031955924,1.0,0.9306967,0.020353172,0.026372766,0.027793,-0.0014202332,2.302403,0.41763085399449035,0.44958677685950416
40960,674.1802303893095,1.0,17.814077,100.0,29.871569,-1.0,0.045595396,1.0,0.92916536,0.018535992,0.021734193,0.02583994,-0.0041057486,2.30206,0.40991589198760514,0.4555112881806109
49152,670.1156373298754,1.0,18.128864,100.0,30.161919,-1.0,0.040968344,1.0,0.9266373,0.020071695,0.01824608,0.025950886,-0.0077048056,2.3004806,0.409683426443203,0.4506517690875233
57344,584.0108239309877,1.0,18.16092,100.0,30.123453,-1.0,0.048850574,1.0,0.92667395,0.025866441,0.018486321,0.029129058,-0.010642739,2.2953982,0.4061302681992337,0.4549808429118774
65536,679.1886410804448,1.0,18.138517,100.0,30.14639,-1.0,0.05490524,1.0,0.9244275,0.025684085,0.018164597,0.029147454,-0.010982857,2.287582,0.4013377926421405,0.45624303232998886
73728,662.1606452500134,1.0,17.974297,100.0,29.994541,-1.0,0.065361075,1.0,0.9255715,0.029435622,0.019458244,0.032349765,-0.012891523,2.2795093,0.397796817625459,0.4631578947368421
81920,677.387630531678,1.0,18.003536,100.0,29.960493,-1.0,0.07979664,1.0,0.9251608,0.035244677,0.018718876,0.028226484,-0.009507609,2.2660794,0.3912466843501326,0.47104332449160036
90112,671.5862959388265,1.0,18.12794,100.0,30.08706,-1.0,0.08982158,1.0,0.92360336,0.040285587,0.016833242,0.026083913,-0.009250672,2.254108,0.38564476885644766,0.47546634225466344
98304,675.0629279552858,1.0,18.331213,100.0,30.212934,-1.0,0.10940714,1.0,0.92216206,0.045459256,0.01652842,0.027491244,-0.010962825,2.2198396,0.3764727884795212,0.48587993267252666
106496,666.2059360215231,1.0,18.303324,100.0,30.225855,-1.0,0.13054016,1.0,0.9200721,0.05582467,0.017875625,0.026169939,-0.008294312,2.2148995,0.36651662049861494,0.4970567867036011
114688,671.7650102743096,1.0,18.51558,100.0,30.502256,-1.0,0.1478416,1.0,0.9165361,0.061312165,0.017938055,0.023609089,-0.0056710346,2.198776,0.35702693930542034,0.5048685491723467
122880,671.6166329901266,1.0,18.654966,100.0,30.719524,-1.0,0.17015107,1.0,0.91190493,0.07176205,0.0186871,0.023392366,-0.004705268,2.164473,0.3451854112620174,0.5153364871051427
131072,676.6631949274137,1.0,18.879686,100.0,30.998955,-1.0,0.18763573,1.0,0.9078606,0.08043108,0.019118104,0.024529211,-0.0054111076,2.1264048,0.3358911249457073,0.5235268568119299
