timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
8192,70.92859697125897,1.0,15.185111,100.0,27.248205,-1.0,-0.0020120724,1.0,0.9269039,0.023356874,0.18605527,0.18714216,-0.0010868807,2.3022847,0.4305835010060362,0.42857142857142855
16384,676.6199685975839,1.0,16.693514,100.0,28.849184,-1.0,0.018828452,1.0,0.92708045,0.014398479,0.100041874,0.10070201,-0.0006601306,2.3022442,0.4205020920502092,0.4393305439330544
24576,668.7571982791633,1.0,17.129852,100.0,29.118986,-1.0,0.0021171488,1.0,0.9290245,0.008938648,0.037980117,0.038585976,-0.0006058626,2.3023663,0.43048694424841216,0.4326040931545519
32768,676.8961445073163,1.0,16.808012,100.0,28.72611,-1.0,-0.01144641,1.0,0.9326285,0.00015419952,0.031055113,0.031600274,-0.0005451614,2.3023925,0.44068678459937566,0.4292403746097815
40960,674.2716499462639,1.0,16.99452,100.0,28.960278,-1.0,-0.020236088,1.0,0.93124264,-0.0013225767,0.023127362,0.025682278,-0.0025549154,2.3022304,0.443929173693086,0.4236930860033727
49152,670.3213838597711,1.0,17.505215,100.0,29.550127,-1.0,-0.0089895725,1.0,0.92912734,-0.00031175787,0.018167429,0.024211187,-0.006043758,2.3008122,0.4361740381157857,0.42718446601941745
57344,668.4034076383373,1.0,17.671326,100.0,29.716307,-1.0,-0.00062131096,1.0,0.9293125,0.00536692,0.019993998,0.02757699,-0.007582995,2.2979577,0.43212177694936316,0.4315004659832246
65536,669.2442968304147,1.0,17.795027,100.0,29.83405,-1.0,0.008198962,1.0,0.92957157,0.008517597,0.018667627,0.027639396,-0.008971769,2.2931573,0.4279857884667942,0.43618474993167533
73728,668.7492714547922,1.0,17.866293,100.0,29.990814,-1.0,0.02581588,1.0,0.929212,0.01435738,0.015127271,0.027503837,-0.012376564,2.2846265,0.419142717973697,0.4449585971748661
81920,676.5294430572685,1.0,17.860342,100.0,29.955887,-1.0,0.047870003,1.0,0.9284415,0.02300131,0.017151603,0.027194172,-0.01004257,2.2723076,0.4082125603864734,0.45608256477821696
90112,678.9371534943953,1.0,18.087017,100.0,30.211025,-1.0,0.059357964,1.0,0.9274673,0.031740252,0.019642062,0.026419666,-0.0067776022,2.2540083,0.40218049666868566,0.46153846153846156
98304,672.8692860581225,1.0,18.474092,100.0,30.618822,-1.0,0.07810136,1.0,0.92420226,0.038421303,0.015472772,0.020334166,-0.0048613967,2.2388124,0.39107413010590014,0.4691754916792738
106496,665.543918223632,1.0,18.567041,100.0,30.713617,-1.0,0.1012636,1.0,0.9216947,0.04714738,0.015115728,0.025066026,-0.009950297,2.2122097,0.3792558792558793,0.4805194805194805
114688,668.7214965120147,1.0,18.561146,100.0,30.802841,-1.0,0.12701514,1.0,0.918156,0.056314856,0.017340414,0.026564918,-0.009224505,2.1819463,0.3660641589317701,0.49307930304510666
122880,679.0687589627481,1.0,18.652943,100.0,30.925123,-1.0,0.14882587,1.0,0.9148521,0.066144206,0.019401645,0.026587326,-0.007185681,2.1508408,0.3551387618176273,0.5039646233607807
131072,671.7422504576816,1.0,18.742598,100.0,31.11939,-1.0,0.1698764,1.0,0.9107329,0.07874399,0.019999232,0.02508045,-0.005081216,2.1236959,0.34420810577752226,0.5140845070422535
139264,666.0252610030595,1.0,18.906416,100.0,31.40165,-1.0,0.1919357,1.0,0.9050075,0.09109186,0.020966947,0.022182181,-0.0012152337,2.1079555,0.3319711211006675,0.5239068246832856
147456,672.1778306551264,1.0,19.015282,100.0,31.618706,-1.0,0.2131572,1.0,0.8995915,0.10313682,0.02041386,0.023115642,-0.002701784,2.0688305,0.32077182077182076,0.5339290339290339
155648,664.1967682831024,1.0,19.159367,100.0,31.827803,-1.0,0.23113091,1.0,0.894472,0.11300653,0.023678474,0.021927673,0.0017508023,2.043792,0.31118535016085125,0.5423162583518931
163840,664.4748826968572,1.0,19.47461,100.0,32.22968,-1.0,0.26000977,1.0,0.885,0.12876089,0.021628136,0.022452302,-0.00082416664,2.0222821,0.29541015625,0.555419921875
172032,669.4299573083185,1.0,19.640259,100.0,32.552998,-1.0,0.28686523,1.0,0.87554854,0.14437194,0.022095537,0.02244877,-0.00035323325,1.9864291,0.281005859375,0.56787109375
180224,664.0830052868445,1.0,19.821167,100.0,32.89488,-1.0,0.32287598,1.0,0.8618567,0.16544154,0.022234187,0.021543205,0.000690982,1.9502149,0.2620849609375,0.5849609375
188416,668.8457207417431,1.0,19.990479,100.0,33.208466,-1.0,0.35705566,1.0,0.8461058,0.18182014,0.02009962,0.020023169,7.644965e-05,1.983024,0.2431640625,0.6002197265625
